FcstDate,BaseDate,Comerica,Varo,USBank,Skylight,Payfare,ADP,Comdata,MN,CashApp,Chime,PNC
07/02/23,04/09/23,32912 ,5980,19146,4834,25940,23453,7469,9969,25539,78348,15917
07/03/23,04/10/23,132216 ,4572,12660,3472,28079,16012,5104,6687,19854,59906,10556
07/04/23,04/11/23,80193 ,5126,13965,3922,28852,16562,5270,7840,20818,66717,10197
07/05/23,04/12/23,43634 ,7472,14197,4075,26387,18590,5741,8756,24724,95778,11163
07/06/23,04/13/23,30850 ,10528,15771,6678,26995,28786,7194,10425,34016,156727,12996
07/07/23,04/14/23,23625 ,10569,35927,9941,27673,45119,14905,17696,38085,157015,17207
07/08/23,04/15/23,19067 ,8820,44094,9756,28370,46384,14761,18941,36562,127575,21506
07/09/23,04/16/23,13365 ,5722,18553,4784,25062,22716,7409,9755,24181,75662,15344
07/10/23,04/17/23,12232 ,4375,12267,3436,27128,15509,5063,6543,18798,57852,10176
07/11/23,04/18/23,13010 ,4905,13532,3881,27875,16041,5227,7672,19711,64429,9830
07/12/23,04/19/23,18417 ,7150,13757,4033,25493,18005,5695,8567,23410,92494,10761
07/13/23,04/20/23,14990 ,10075,15282,6609,26081,27882,7136,10201,32207,151352,12528
07/14/23,04/21/23,11839 ,10114,34813,9838,26735,43702,14785,17315,36060,151631,16587
07/15/23,04/22/23,10175 ,8440,42726,9656,27409,44927,14642,18534,34618,123200,20731
07/16/23,04/23/23,7626 ,5946,18630,4799,25760,22720,7376,9736,24529,77110,15228
07/17/23,04/24/23,6926 ,4546,12318,3447,27883,15511,5041,6530,19068,58960,10099
07/18/23,04/25/23,7193 ,5097,13589,3894,28651,16044,5205,7657,19995,65663,9756
07/19/23,04/26/23,13737 ,7430,13815,4047,26203,18009,5670,8551,23747,94265,10680
07/20/23,04/27/23,11090 ,10468,15346,6631,26807,27886,7105,10181,32670,154250,12434
07/21/23,04/28/23,8275 ,10509,34958,9870,27480,43709,14720,17282,36578,154534,16463
07/22/23,04/29/23,7020 ,8770,42905,9687,28173,44934,14578,18498,35116,125559,20576
07/23/23,04/30/23,5153 ,6309,18316,4721,25049,22666,7484,9654,24747,81256,15211
07/24/23,05/01/23,4987 ,4823,12111,3391,27114,15474,5114,6475,19238,62129,10087
07/25/23,05/02/23,5406 ,5408,13360,3831,27861,16005,5280,7592,20173,69193,9745
07/26/23,05/03/23,11423 ,7884,13581,3981,25480,17965,5753,8478,23958,99332,10667
07/27/23,05/04/23,8897 ,11108,15087,6523,26068,27819,7208,10095,32961,162542,12420
07/28/23,05/05/23,6708 ,11151,34369,9710,26722,43604,14934,17136,36904,162841,16443
07/29/23,05/06/23,5754 ,9306,42181,9530,27395,44826,14790,18341,35428,132309,20552
07/30/23,05/07/23,4312 ,6590,19245,5082,26529,23876,7598,9975,25966,87298,16195
07/31/23,05/08/23,4312 ,5038,12725,3650,28716,16300,5192,6691,20186,66750,10740
08/01/23,05/09/23,121910 ,5649,14037,4123,29507,16860,5361,7845,21166,74339,10375
08/02/23,05/10/23,68875 ,8235,14270,4285,26986,18924,5840,8761,25138,106720,11358
08/03/23,05/11/23,138414 ,11603,15853,7021,27608,29304,7318,10431,34584,174631,13223
08/04/23,05/12/23,86064 ,11648,36112,10451,28301,45932,15162,17707,38721,174952,17507
08/05/23,05/13/23,46222 ,9721,44321,10257,29014,47219,15016,18953,37173,142148,21882
08/06/23,05/14/23,32048 ,5987,18983,4840,26344,23426,7501,9854,25433,81121,16216
08/07/23,05/15/23,19916 ,4577,12552,3477,28516,15993,5126,6609,19771,62027,10754
08/08/23,05/16/23,17726 ,5132,13846,3927,29302,16542,5293,7749,20732,69079,10389
08/09/23,05/17/23,21761 ,7481,14076,4081,26798,18568,5766,8654,24621,99168,11373
08/10/23,05/18/23,18098 ,10540,15637,6688,27416,28753,7225,10304,33874,162274,13241
08/11/23,05/19/23,14298 ,10582,35621,9955,28104,45067,14969,17491,37926,162572,17530
08/12/23,05/20/23,12107 ,8831,43718,9770,28812,46330,14825,18722,36409,132090,21910
08/13/23,05/21/23,9066 ,5729,18672,4790,25769,23226,7440,9762,24686,78326,15677
08/14/23,05/22/23,8215 ,4380,12346,3441,27894,15857,5085,6548,19190,59889,10397
08/15/23,05/23/23,8611 ,4911,13619,3887,28662,16401,5250,7677,20123,66698,10044
08/16/23,05/24/23,14613 ,7159,13845,4039,26213,18409,5719,8574,23898,95751,10995
08/17/23,05/25/23,11680 ,10087,15380,6619,26817,28507,7167,10208,32879,156681,12800
08/18/23,05/26/23,9280 ,10126,35036,9852,27491,44682,14848,17328,36812,156970,16948
08/19/23,05/27/23,7971 ,8450,43001,9669,28183,45934,14705,18548,35340,127538,21182
08/20/23,05/28/23,6039 ,5953,18750,4806,26483,23228,7408,9743,25038,79805,15558
08/21/23,05/29/23,5626 ,4551,12398,3452,28666,15858,5063,6535,19464,61020,10318
08/22/23,05/30/23,5951 ,5103,13676,3900,29456,16402,5227,7662,20410,67958,9967
08/23/23,05/31/23,11918 ,7438,13903,4052,26939,18411,5695,8557,24240,97559,10911
08/24/23,06/01/23,9517 ,10480,15445,6640,27560,28509,7136,10189,33349,159641,12703
08/25/23,06/02/23,7268 ,10521,35183,9884,28252,44685,14783,17295,37338,159934,16819
08/26/23,06/03/23,6337 ,8780,43181,9701,28963,45938,14641,18512,35845,129947,21021
08/27/23,06/04/23,4533 ,6596,19344,5087,27118,24298,7624,9982,26393,89694,16473
08/28/23,06/05/23,3824 ,5043,12790,3654,29353,16588,5210,6695,20517,68582,10925
08/29/23,06/06/23,4294 ,5655,14109,4128,30162,17158,5379,7850,21514,76379,10554
08/30/23,06/07/23,4689 ,8243,14343,4289,27584,19259,5860,8766,25551,109649,11553
08/31/23,06/08/23,4689 ,11614,15934,7029,28220,29823,7343,10438,35153,179423,13450
09/01/23,06/09/23,192686 ,11659,36297,10463,28929,46744,15214,17718,39358,179754,17808
09/02/23,06/10/23,114298 ,9730,44548,10269,29658,48055,15068,18965,37784,146050,22258
09/03/23,06/11/23,46903 ,5992,19080,4846,26926,23839,7527,9860,25849,83340,16493
09/04/23,06/12/23,36990 ,4581,12616,3481,29146,16275,5144,6613,20095,63723,10938
09/05/23,06/13/23,31394 ,5137,13917,3932,29948,16834,5311,7754,21071,70968,10567
09/06/23,06/14/23,24338 ,7488,14148,4086,27389,18895,5786,8659,25025,101880,11567
09/07/23,06/15/23,19405 ,10550,15717,6695,28021,29259,7250,10310,34429,166712,13467
09/08/23,06/16/23,16699 ,10592,35803,9966,28724,45861,15020,17502,38548,167018,17830
09/09/23,06/17/23,14524 ,8839,43942,9781,29448,47147,14875,18733,37006,135702,22285
09/10/23,06/18/23,10442 ,5734,18767,4796,26336,23634,7466,9768,25089,80457,15944
09/11/23,06/19/23,9451 ,4384,12409,3445,28507,16135,5102,6552,19504,61519,10574
09/12/23,06/20/23,10348 ,4916,13689,3891,29292,16689,5268,7682,20452,68513,10215
09/13/23,06/21/23,16378 ,7166,13916,4044,26789,18732,5739,8579,24289,98356,11182
09/14/23,06/22/23,13140 ,10096,15459,6626,27407,29007,7191,10215,33416,160945,13018
09/15/23,06/23/23,10231 ,10135,35215,9863,28095,45466,14899,17339,37414,161241,17236
09/16/23,06/24/23,8656 ,8458,43221,9680,28802,46741,14755,18559,35918,131008,21543
09/17/23,06/25/23,6622 ,5958,18846,4811,27061,23634,7433,9749,25446,81961,15821
09/18/23,06/26/23,5627 ,4555,12461,3456,29292,16135,5080,6539,19781,62668,10492
09/19/23,06/27/23,6307 ,5108,13746,3904,30099,16689,5245,7667,20742,69793,10136
09/20/23,06/28/23,13008 ,7445,13974,4057,27527,18732,5714,8562,24634,100194,11096
09/21/23,06/29/23,11555 ,10490,15524,6648,28162,29007,7160,10195,33891,163953,12918
09/22/23,06/30/23,7825 ,10531,35363,9895,28868,45466,14834,17305,37946,164255,17104
09/23/23,07/01/23,6417 ,8788,43401,9712,29596,46741,14691,18523,36428,133457,21377
,,1950148 ,643370 ,1841267 ,513851 ,2330482 ,2332846 ,726206 ,949067 ,2367250 ,9228707 ,1188713 
