Date,Mth,Week,Fcst DayOfWeek,ModelDate (reference),BaseDate (Actuals Date),Scaling?,Week,Baseline DayOfWeek,Weekly Forecast,BOM/ROM
7/2/2023,7,27,1,4/9/2023,5/28/2023,1.056212732,22,1,3450250.916,0
7/3/2023,7,27,2,4/10/2023,5/29/2023,1.056212732,22,2,3450250.916,0
7/4/2023,7,27,3,4/11/2023,5/30/2023,1.056212732,22,3,3450250.916,0
7/5/2023,7,27,4,4/12/2023,5/31/2023,1.056212732,22,4,3450250.916,0
7/6/2023,7,27,5,4/13/2023,6/1/2023,1.056212732,22,5,3450250.916,0
7/7/2023,7,27,6,4/14/2023,6/2/2023,1.056212732,22,6,3450250.916,0
7/8/2023,7,27,7,4/15/2023,6/3/2023,1.056212732,22,7,3450250.916,0
7/9/2023,7,28,1,4/16/2023,6/4/2023,1.056212732,23,1,3389259.912,0
7/10/2023,7,28,2,4/17/2023,6/5/2023,1.056212732,23,2,3389259.912,0
7/11/2023,7,28,3,4/18/2023,6/6/2023,1.056212732,23,3,3389259.912,0
7/12/2023,7,28,4,4/19/2023,6/7/2023,1.056212732,23,4,3389259.912,0
7/13/2023,7,28,5,4/20/2023,6/8/2023,1.056212732,23,5,3389259.912,0
7/14/2023,7,28,6,4/21/2023,6/9/2023,1.056212732,23,6,3389259.912,0
7/15/2023,7,28,7,4/22/2023,6/10/2023,1.056212732,23,7,3389259.912,0
7/16/2023,7,29,1,4/23/2023,6/11/2023,1.056212732,24,1,3272043.536,0
7/17/2023,7,29,2,4/24/2023,6/12/2023,1.056212732,24,2,3272043.536,0
7/18/2023,7,29,3,4/25/2023,6/13/2023,1.056212732,24,3,3272043.536,0
7/19/2023,7,29,4,4/26/2023,6/14/2023,1.056212732,24,4,3272043.536,0
7/20/2023,7,29,5,4/27/2023,6/15/2023,1.056212732,24,5,3272043.536,0
7/21/2023,7,29,6,4/28/2023,6/16/2023,1.056212732,24,6,3272043.536,0
7/22/2023,7,29,7,4/29/2023,6/17/2023,1.056212732,24,7,3272043.536,0
7/23/2023,7,30,1,4/30/2023,6/18/2023,1.056212732,25,1,3236490.359,0
7/24/2023,7,30,2,5/1/2023,6/19/2023,1.056212732,25,2,3236490.359,0
7/25/2023,7,30,3,5/2/2023,6/20/2023,1.056212732,25,3,3236490.359,0
7/26/2023,7,30,4,5/3/2023,6/21/2023,1.056212732,25,4,3236490.359,0
7/27/2023,7,30,5,5/4/2023,6/22/2023,1.056212732,25,5,3236490.359,0
7/28/2023,7,30,6,5/5/2023,6/23/2023,1.056212732,25,6,3236490.359,0
7/29/2023,7,30,7,5/6/2023,6/24/2023,1.056212732,25,7,3236490.359,0
7/30/2023,8,31,1,5/7/2023,5/28/2023,1.068850589,22,1,3491534.054,1
7/31/2023,8,31,2,5/8/2023,5/29/2023,1.068850589,22,2,3491534.054,1
8/1/2023,8,31,3,5/9/2023,5/30/2023,1.068850589,22,3,3491534.054,1
8/2/2023,8,31,4,5/10/2023,5/31/2023,1.068850589,22,4,3491534.054,1
8/3/2023,8,31,5,5/11/2023,6/1/2023,1.068850589,22,5,3491534.054,1
8/4/2023,8,31,6,5/12/2023,6/2/2023,1.068850589,22,6,3491534.054,1
8/5/2023,8,31,7,5/13/2023,6/3/2023,1.068850589,22,7,3491534.054,1
8/6/2023,8,32,1,5/14/2023,6/4/2023,1.043568922,23,1,3348687.443,0
8/7/2023,8,32,2,5/15/2023,6/5/2023,1.043568922,23,2,3348687.443,0
8/8/2023,8,32,3,5/16/2023,6/6/2023,1.043568922,23,3,3348687.443,0
8/9/2023,8,32,4,5/17/2023,6/7/2023,1.043568922,23,4,3348687.443,0
8/10/2023,8,32,5,5/18/2023,6/8/2023,1.043568922,23,5,3348687.443,0
8/11/2023,8,32,6,5/19/2023,6/9/2023,1.043568922,23,6,3348687.443,0
8/12/2023,8,32,7,5/20/2023,6/10/2023,1.043568922,23,7,3348687.443,0
8/13/2023,8,33,1,5/21/2023,6/11/2023,1.043568922,24,1,3232874.251,0
8/14/2023,8,33,2,5/22/2023,6/12/2023,1.043568922,24,2,3232874.251,0
8/15/2023,8,33,3,5/23/2023,6/13/2023,1.043568922,24,3,3232874.251,0
8/16/2023,8,33,4,5/24/2023,6/14/2023,1.043568922,24,4,3232874.251,0
8/17/2023,8,33,5,5/25/2023,6/15/2023,1.043568922,24,5,3232874.251,0
8/18/2023,8,33,6,5/26/2023,6/16/2023,1.043568922,24,6,3232874.251,0
8/19/2023,8,33,7,5/27/2023,6/17/2023,1.043568922,24,7,3232874.251,0
8/20/2023,8,34,1,5/28/2023,6/18/2023,1.043568922,25,1,3197746.678,0
8/21/2023,8,34,2,5/29/2023,6/19/2023,1.043568922,25,2,3197746.678,0
8/22/2023,8,34,3,5/30/2023,6/20/2023,1.043568922,25,3,3197746.678,0
8/23/2023,8,34,4,5/31/2023,6/21/2023,1.043568922,25,4,3197746.678,0
8/24/2023,8,34,5,6/1/2023,6/22/2023,1.043568922,25,5,3197746.678,0
8/25/2023,8,34,6,6/2/2023,6/23/2023,1.043568922,25,6,3197746.678,0
8/26/2023,8,34,7,6/3/2023,6/24/2023,1.043568922,25,7,3197746.678,0
8/27/2023,9,35,1,6/4/2023,5/28/2023,1.055462306,22,1,3447799.556,1
8/28/2023,9,35,2,6/5/2023,5/29/2023,1.055462306,22,2,3447799.556,1
8/29/2023,9,35,3,6/6/2023,5/30/2023,1.055462306,22,3,3447799.556,1
8/30/2023,9,35,4,6/7/2023,5/31/2023,1.055462306,22,4,3447799.556,1
8/31/2023,9,35,5,6/8/2023,6/1/2023,1.055462306,22,5,3447799.556,1
9/1/2023,9,35,6,6/9/2023,6/2/2023,1.055462306,22,6,3447799.556,1
9/2/2023,9,35,7,6/10/2023,6/3/2023,1.055462306,22,7,3447799.556,1
9/3/2023,9,36,1,6/11/2023,6/4/2023,1.022651484,23,1,3281565.893,0
9/4/2023,9,36,2,6/12/2023,6/5/2023,1.022651484,23,2,3281565.893,0
9/5/2023,9,36,3,6/13/2023,6/6/2023,1.022651484,23,3,3281565.893,0
9/6/2023,9,36,4,6/14/2023,6/7/2023,1.022651484,23,4,3281565.893,0
9/7/2023,9,36,5,6/15/2023,6/8/2023,1.022651484,23,5,3281565.893,0
9/8/2023,9,36,6,6/16/2023,6/9/2023,1.022651484,23,6,3281565.893,0
9/9/2023,9,36,7,6/17/2023,6/10/2023,1.022651484,23,7,3281565.893,0
9/10/2023,9,37,1,6/18/2023,6/11/2023,1.022651484,24,1,3168074.077,0
9/11/2023,9,37,2,6/19/2023,6/12/2023,1.022651484,24,2,3168074.077,0
9/12/2023,9,37,3,6/20/2023,6/13/2023,1.022651484,24,3,3168074.077,0
9/13/2023,9,37,4,6/21/2023,6/14/2023,1.022651484,24,4,3168074.077,0
9/14/2023,9,37,5,6/22/2023,6/15/2023,1.022651484,24,5,3168074.077,0
9/15/2023,9,37,6,6/23/2023,6/16/2023,1.022651484,24,6,3168074.077,0
9/16/2023,9,37,7,6/24/2023,6/17/2023,1.022651484,24,7,3168074.077,0
9/17/2023,9,38,1,6/25/2023,6/18/2023,1.022651484,25,1,3133650.605,0
9/18/2023,9,38,2,6/26/2023,6/19/2023,1.022651484,25,2,3133650.605,0
9/19/2023,9,38,3,6/27/2023,6/20/2023,1.022651484,25,3,3133650.605,0
9/20/2023,9,38,4,6/28/2023,6/21/2023,1.022651484,25,4,3133650.605,0
9/21/2023,9,38,5,6/29/2023,6/22/2023,1.022651484,25,5,3133650.605,0
9/22/2023,9,38,6,6/30/2023,6/23/2023,1.022651484,25,6,3133650.605,0
9/23/2023,9,38,7,7/1/2023,6/24/2023,1.022651484,25,7,3133650.605,0
